pathway,pval,padj,log2err,ES,NES,size,leadingEdge
BIOCARTA_AKAP95_PATHWAY,0.562874251497006,0.945547227900169,0.0728938564822936,-0.704918032786885,-0.964871930080442,1,DDX5
BIOCARTA_BCELLSURVIVAL_PATHWAY,0.850299401197605,0.97374733255033,0.0530212512043078,-0.569672131147541,-0.779751152797567,1,CASP7
BIOCARTA_BCR_PATHWAY,0.649019607843137,0.945547227900169,0.0649407684612899,0.651639344262295,0.895026707806643,1,LYN
BIOCARTA_CALCINEURIN_PATHWAY,0.349301397205589,0.928190567222363,0.0992333343771191,-0.819672131147541,-1.1219441047447,1,SP3
BIOCARTA_CARM_ER_PATHWAY,0.415169660678643,0.945547227900169,0.0891647117820678,-0.782786885245902,-1.07145662003119,1,MED1
BIOCARTA_CASPASE_PATHWAY,0.850299401197605,0.97374733255033,0.0530212512043078,-0.569672131147541,-0.779751152797567,1,CASP7
BIOCARTA_CELL2CELL_PATHWAY,0.790196078431373,0.97374733255033,0.0555947097758869,0.586065573770492,0.804961127146855,1,ACTN1
BIOCARTA_CHEMICAL_PATHWAY,0.850299401197605,0.97374733255033,0.0530212512043078,-0.569672131147541,-0.779751152797567,1,CASP7
BIOCARTA_DEATH_PATHWAY,0.850299401197605,0.97374733255033,0.0530212512043078,-0.569672131147541,-0.779751152797567,1,CASP7
BIOCARTA_DNAFRAGMENT_PATHWAY,0.850299401197605,0.97374733255033,0.0530212512043078,-0.569672131147541,-0.779751152797567,1,CASP7
BIOCARTA_EPHA4_PATHWAY,0.649019607843137,0.945547227900169,0.0649407684612899,0.651639344262295,0.895026707806643,1,LYN
BIOCARTA_ETC_PATHWAY,1,1,0.0455878202571231,0,0,1,
BIOCARTA_FAS_PATHWAY,0.850299401197605,0.97374733255033,0.0530212512043078,-0.569672131147541,-0.779751152797567,1,CASP7
BIOCARTA_FCER1_PATHWAY,0.649019607843137,0.945547227900169,0.0649407684612899,0.651639344262295,0.895026707806643,1,LYN
