,First Protein Name,fc_betas
3,LPP,-1.4304370036451943
4,RAI14,-4.670561754480701
5,14-3-3 zeta,-0.7345631474040963
6,14-3-3 zeta,0.820149887356508
8,calponin 2,0.02614945345476224
9,COL2A1,-1.9494177065351792
10,COL6A1,0.4132525531515769
11,DAZAP1 iso2,-0.30497393673893697
12,Destrin,0.9349639671232574
13,Destrin,0.3973377694402215
14,Destrin,0.3362683850060718
15,Destrin,0.3973377694402215
16,Lasp-1,-0.8733106912581503
17,MFAP5,-1.803658409588085
18,TAGLN,-0.5590923810701433
19,TAGLN,-0.1305947026048422
20,TAGLN,-0.1305947026048422
21,TRIR,-1.6495572096367466
23,PDCD8,-1.7466283261756785
24,AIFM3,2.850243039427856
26,FOXC2,-4.856527635776892
27,FOXC2,-4.856527635776892
28,G6PI,1.4447024106562458
29,G6PI,-0.6103790847511491
30,BPY2-IP1,1.627010747114216
34,SP3,-5.333421607086139
35,ZNF652,-2.5963945260273578
37,ANXA1,-8.727307966668324
38,ANXA2,1.255193295244149
39,ANXA2,-1.26915116662876
40,ANXA6,3.2915937404950375
41,ANXA6,-1.4919888537746715
42,ANXA6,0.3412482069363808
43,ANXA6,-0.15032839995659558
44,EHD1,-0.36908246221414176
45,GPD2,-1.599369800680251
47,CFDP1,-7.481481359398201
48,HAUS3,-1.4736554331567908
49,HAUS3,-1.4736554331567908
50,MLL,-3.4743350701132996
51,MLL,-14.165455089485334
52,PTMS,-1.6344060843563617
53,PTMS,-1.9644128878780047
54,SEPT9,1.5217382525663832
55,SMC3,-1.5614686254565033
57,ACTC1,1.8999324904931063
58,ACTC1,0.08471167477804936
60,BRD1,-84.78521199774232
61,BRD1,-1.3974682109083456
62,DYX1C1,4.432278000459527
63,DYX1C1,4.432278000459527
64,DNMT1,-1.7042042524898788
65,FHL1,-1.3409094306851654
66,FHL1,-0.6371966848140558
67,SKT,0.06111806810822611
68,FMIP,-1.3272479025056683
70,CCT6A,-1.686150620864003
71,CRYAB,2.160210308908474
72,CRYAB,3.4772307435368712
73,HSP90A,-0.055053740820509775
74,HSP90A,-0.055053740820509775
75,HSP70,0.335852485395425
76,HSP70RY,-0.2893505930087031
77,HSP70RY,-0.2893505930087031
78,HSP70RY,-1.7123655074756112
79,HSC70,-1.5584269000827526
80,HSC70,-2.1784838021332855
81,HSPA9B,2.553021110778446
82,HSPA9B,0.5470678376084256
83,HSPA9B,-1.792807849493191
84,HSP60,0.10062746541554095
85,HSP60,1.2398295680402054
86,HYOU1,-0.3959226187469296
88,MYBBP1A,-46.42797476513675
89,POLE,9.167328423551847
91,ACTB,1.4629377580062268
92,ACTB,0.4973785494533444
93,ACTB,0.4973785494533444
94,ACTB,-0.031433181338349124
95,ACTN1,-1.275398786832168
96,Arp3,-2.19811653212854
97,ADD2,0.7814329950617597
98,CSRP1,-3.4420948218499396
99,CSRP1,-1.600913829080294
100,CSRP1,-4.096705886369111
101,desmin,1.6804119568387266
102,K13,-2.7349039001846482
103,K6a,-3.0966046716248488
104,Lamin B1,-2.45519963584878
105,Lamin B1,-1.8833973277129923
106,Moesin,1.4891710326028391
107,PGM5,-0.4135161297189245
108,SPTA1,-5.913984949008111
109,talin 1,1.7700247914889053
110,TMSB4X,1.9561392726816569
111,TUBA1A,3.208846491919476
112,TUBA1A,-1.7877681441849924
113,TUBB,-2.3859735978753283
114,Vimentin,1.3602719008014355
115,Vimentin,1.4675891714198146
116,Vimentin,-1.166634536165881
117,Vimentin,0.14968636761414789
118,Vimentin,4.418868131415735
119,Vimentin,2.4731134349866695
121,CBX3,-2.951517438575088
122,CRIP1,-1.5924302556652665
123,H1F1,-2.0948939403778164
124,H1F1,-9.231299117709492
125,H1F1,0.7308058825637835
126,H1C,-5.122502404189734
127,H1C,-8.868701783081722
128,H1D,-1.7390632090383369
129,H1D,-1.623707911932123
130,H1B,-1.5315405031995908
131,H1B,-2.1036477595645797
132,H2AFJ,-1.9818332303669337
133,H2AFJ,1.5596629527382089
134,H2AZ,-1.6379785046095066
135,H2B1D,-1.5984556401524486
136,H2B1N,-1.6068792075604055
137,H2B1N,1.4275913852762838
138,H2B1C,-1.4779894742662723
