pathway,pval,padj,log2err,ES,NES,size,leadingEdge
BIOCARTA_AHSP_PATHWAY,0.074,0.313575,0.234392647294686,-0.984126984126984,-1.30139233584318,1,HBA1
BIOCARTA_AMI_PATHWAY,0.00966339812755167,0.0668549380661228,0.380730400722792,-0.967741935483871,-1.57737718846498,2,FGB FGG
BIOCARTA_EPONFKB_PATHWAY,0.26,0.550875,0.118287526124085,-0.888888888888889,-1.17545114205191,1,SOD2
BIOCARTA_ETC_PATHWAY,0.317666126418152,0.626097772417172,0.0925528864684773,0.741732891934584,1.14594797830947,2,SLC25A4 SDHA
BIOCARTA_EXTRINSIC_PATHWAY,0.00966339812755167,0.0668549380661228,0.380730400722792,-0.967741935483871,-1.57737718846498,2,FGB FGG
BIOCARTA_FEEDER_PATHWAY,0.589641434262948,0.742735239852399,0.0704500850658419,0.682539682539683,0.919462227912933,1,PYGM
BIOCARTA_FIBRINOLYSIS_PATHWAY,0.00966339812755167,0.0668549380661228,0.380730400722792,-0.967741935483871,-1.57737718846498,2,FGB FGG
BIOCARTA_INTRINSIC_PATHWAY,0.00966339812755167,0.0668549380661228,0.380730400722792,-0.967741935483871,-1.57737718846498,2,FGB FGG
BIOCARTA_KREB_PATHWAY,0.963114754098361,0.977532639638755,0.0295645497308931,0.288553446168137,0.537561976492425,5,MDH1 IDH2 CS SDHA ACO2
BIOCARTA_LONGEVITY_PATHWAY,0.26,0.550875,0.118287526124085,-0.888888888888889,-1.17545114205191,1,SOD2
BIOCARTA_MALATEX_PATHWAY,0.826580226904376,0.91404503320131,0.044774889329693,0.480769117194199,0.742769268928297,2,MDH1 CS
BIOCARTA_PPARA_PATHWAY,0.198,0.531618208018988,0.138022242496643,-0.920634920634921,-1.21743153998233,1,APOA1
BIOCARTA_SARS_PATHWAY,0.203187250996016,0.531618208018988,0.135740943810425,0.904761904761905,1.21882202304738,1,CKM
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.898406374501992,0.955567650807137,0.0503964322442957,0.555555555555556,0.748399487836108,1,GOT2
KEGG_ALZHEIMERS_DISEASE,0.017599471340488,0.114735015085105,0.352487857583619,-0.395348837209302,-1.48464815529537,21,NDUFA10 NDUFS6 NDUFB3 SDHA NDUFA5 MT-ATP8 NDUFB1 COX5A NDUFB9 NDUFA6 CYC1 UQCRC2 COX5B COX6C UQCRB NDUFS1 NDUFV1 NDUFA4 COX4I1 CYCS COX6B1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.5199203187251,0.71047170687893,0.0768736734126542,0.714285714285714,0.962227912932139,1,CYCS
KEGG_APOPTOSIS,0.5199203187251,0.71047170687893,0.0768736734126542,0.714285714285714,0.962227912932139,1,CYCS
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.0614692653673163,0.30200117332638,0.222056046145248,0.8592134577042,1.433878443704,3,CKMT2 CKM
KEGG_BETA_ALANINE_METABOLISM,0.513776337115073,0.71047170687893,0.0670512579829467,0.641186245592722,0.990607386899626,2,HADHA ACADM
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.312749003984064,0.623658307944692,0.105920292736253,0.841269841269841,1.13329065300896,1,HADHA
KEGG_BUTANOATE_METABOLISM,0.500810372771475,0.71047170687893,0.0683110858318647,0.647191588913283,0.999885404784613,2,HADHA PDHB
KEGG_CALCIUM_SIGNALING_PATHWAY,0.221115537848606,0.531618208018988,0.129442887745046,0.888888888888889,1.19743918053777,1,SLC25A4
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.330049261083744,0.646743927788377,0.0755015292281669,0.52607560026617,1.1483088589155,12,MYH6 TNNI3 TNNT2 MYL3 COX6B1 COX4I1 UQCRB COX6C COX5B UQCRC2 CYC1
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.933884297520661,0.965203587986293,0.0845557442441281,-0.245614035087719,-0.604955539888718,7,ACO2 PDHB SDHA MDH2 CS IDH2 MDH1
KEGG_COLORECTAL_CANCER,0.5199203187251,0.71047170687893,0.0768736734126542,0.714285714285714,0.962227912932139,1,CYCS
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.00966339812755167,0.0668549380661228,0.380730400722792,-0.967741935483871,-1.57737718846498,2,FGB FGG
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.898406374501992,0.955567650807137,0.0503964322442957,0.555555555555556,0.748399487836108,1,GOT2
KEGG_DILATED_CARDIOMYOPATHY,0.0539772727272727,0.277246900826446,0.231126709673834,0.833333333333333,1.47759077369135,4,MYH6 TNNI3 TNNT2 MYL3
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.824,0.91404503320131,0.0545680646670941,-0.587301587301587,-0.776637361712868,1,ADH1C
KEGG_FATTY_ACID_METABOLISM,0.989347536617843,0.989347536617843,0.0268860833830403,0.241379310344828,0.464070227819041,6,HADHA ACAA2 ADH1C ACADVL ACADL ACADM
KEGG_GLUTATHIONE_METABOLISM,0.756972111553785,0.887936144694578,0.0583452776743612,0.619047619047619,0.83393085787452,1,IDH2
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.59375,0.742735239852399,0.0538979025357319,0.514417615882418,0.912118467662596,4,ENO3 PGAM2 ADH1C
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.960227272727273,0.977528665028665,0.031636972118622,0.307338980071569,0.544945489619352,4,MDH1 CS MDH2 ACO2
