,First Protein Name,fc_betas
1,FGB,-15.688227265083226
2,FGB,-3.869378532091421
25,CLU,-2.0583400016857656
32,GBAS,3.7781113817938805
59,APOA1,-1.697092579218558
159,ACAA2,2.5788048383717124
161,ACADL,0.7861207854825311
162,ACADL,1.6089616137629286
163,ACADL,-0.354165146610281
166,ACADVL,1.8572479092686858
167,ACADVL,1.402501162636152
168,ACADVL,-1.1538056187768622
169,ACADVL,0.4122254767633105
170,THEM2,2.002101496212219
171,THEM2,2.5230028479048277
172,THEM2,2.053122745536333
173,THEM2,2.054269247390139
174,ADH1C,1.8619319792191906
188,ATP5A1,1.4860789093518139
189,ATP5A1,1.6984498327648203
190,ATP5A1,2.170074949747839
191,ATP5A1,0.8339604155569633
192,ATP5A1,2.0194784612176213
193,ATP5A1,3.0410196191121455
194,ATP5B,1.8269003946653977
195,ATP5B,1.7997949103320952
196,ATP5B,-0.06769573395409105
197,ATP5B,2.228054582601408
198,ATP5B,1.608736532659895
199,ATP5B,4.320341734554206
200,ATP5B,1.53874631723381
201,ATP5B,1.6036442583252648
202,ATP5B,1.6036442583252648
205,ATP5D,1.8884062571358473
206,ATP5E,1.9468804201418741
207,ATP5E,2.0255395994789196
208,ATP5E,3.4152315727399487
216,CKMT2,23.531306480771345
217,CKMT2,1.94837558766298
218,CKMT2,36.13388655753103
221,COX4I1,3.4968171849405336
222,COX5A,1.8313328374833944
223,COX5B,2.2768670635868906
224,COX6C,2.327023080053766
235,CS,-0.4188189663608718
236,CS,1.3051413984704863
237,CS,1.722208108667064
238,CS,1.2071923246389036
239,CYC1,2.2368376919027115
243,DECR1,1.7914811684762693
244,DECR1,-1.2693455298829612
251,ENO3,1.2867764198488292
252,ENO3,3.0010387607879503
253,ENO3,3.7515248981317106
254,ENO3,2.9346379664570064
255,ENO3,1.887576662551717
256,ENO3,3.8303198998175394
257,ENO3,8.857039002842189
259,ETFDH,-1.5154914517140299
270,GOT2,1.501303037596869
271,GOT2,1.524281157375848
272,GOT2,1.7128791101510237
273,GOT2,0.43944704469782503
274,GOT2,2.7899694507222637
275,GOT2,2.163617071633498
280,HADHSC,2.2524627576757723
281,HADHA,5.5083430312856665
282,HADHA,-0.05734813241893903
283,HADHA,1.8367885267360622
284,HADHA,-1.2466114396607493
285,HADHA,-1.0920993788015947
286,HADHA,-0.5150710309866173
298,IDH2,-0.6039133882748113
299,IDH2,3.095140913824859
300,IDH2,1.3005356737392497
301,IDH2,0.9699415547746765
302,IDH2,1.6238401917470595
303,IDH2,2.116925737658444
304,IDH2,1.5908683795571135
305,IDH2,1.4808241546777932
306,IDH2,1.9688968697667302
307,IDH2,1.4987295759413215
314,IVD,1.8604474735714347
325,LDH-B,1.5664545267018417
328,MDH1,4.14713311034984
329,MDH1,2.534336074732428
330,MDH2,1.4708785638299837
331,MDH2,0.47994597092365593
