pathway,pval,padj,log2err,ES,NES,size,leadingEdge
BIOCARTA_ACETAMINOPHEN_PATHWAY,0.768145161290323,0.823355594758065,0.0582216241124161,0.604838709677419,0.831466965285555,1,CYP2E1
BIOCARTA_ALK_PATHWAY,0.231854838709677,0.483981900452489,0.126875729929857,0.879032258064516,1.20839865621501,1,NPPA
BIOCARTA_ALTERNATIVE_PATHWAY,0.195357833655706,0.463721362933614,0.136490437780413,-0.887096774193548,-1.21411764705882,1,C3
BIOCARTA_BTG2_PATHWAY,0.323017408123791,0.48647263539283,0.102080107662747,-0.830645161290323,-1.13685561497326,1,PRMT1
BIOCARTA_CALCINEURIN_PATHWAY,0.268858800773694,0.483981900452489,0.11378726182188,-0.862903225806452,-1.18100534759358,1,MARCKS
BIOCARTA_CASPASE_PATHWAY,0.299806576402321,0.483981900452489,0.106729884364606,-0.846774193548387,-1.15893048128342,1,PARP1
BIOCARTA_CELL2CELL_PATHWAY,0.608870967741936,0.731994837520791,0.0694481442003175,0.67741935483871,0.931243001119821,1,ACTN2
BIOCARTA_CHEMICAL_PATHWAY,0.299806576402321,0.483981900452489,0.106729884364606,-0.846774193548387,-1.15893048128342,1,PARP1
BIOCARTA_CHREBP_PATHWAY,0.342741935483871,0.507820664669407,0.100990587455923,0.814516129032258,1.11970884658455,1,ACSM1
BIOCARTA_CLASSIC_PATHWAY,0.00940973813036211,0.143446230165076,0.380730400722792,-0.901639344262295,-1.72820199013797,3,C4B C1QB C3
BIOCARTA_COMP_PATHWAY,0.00940973813036211,0.143446230165076,0.380730400722792,-0.901639344262295,-1.72820199013797,3,C4B C1QB C3
BIOCARTA_D4GDI_PATHWAY,0.299806576402321,0.483981900452489,0.106729884364606,-0.846774193548387,-1.15893048128342,1,PARP1
BIOCARTA_EDG1_PATHWAY,0.2321083172147,0.483981900452489,0.12384217120105,-0.879032258064516,-1.20308021390374,1,ITGB3
BIOCARTA_EICOSANOID_PATHWAY,0.844758064516129,0.886724045524764,0.05378728077603,0.57258064516129,0.787122060470325,1,EPHX2
BIOCARTA_ETC_PATHWAY,0.330232558139535,0.49247724974722,0.112378519110475,-0.691056910569106,-1.15044659204904,2,UQCRC1 SDHC
BIOCARTA_FAS_PATHWAY,0.299806576402321,0.483981900452489,0.106729884364606,-0.846774193548387,-1.15893048128342,1,PARP1
BIOCARTA_FEEDER_PATHWAY,0.752016129032258,0.823355594758065,0.059221919380382,0.612903225806452,0.842553191489362,1,PYGL
BIOCARTA_GCR_PATHWAY,0.231854838709677,0.483981900452489,0.126875729929857,0.879032258064516,1.20839865621501,1,NPPA
BIOCARTA_HIVNEF_PATHWAY,0.299806576402321,0.483981900452489,0.106729884364606,-0.846774193548387,-1.15893048128342,1,PARP1
BIOCARTA_INTEGRIN_PATHWAY,0.608870967741936,0.731994837520791,0.0694481442003175,0.67741935483871,0.931243001119821,1,ACTN2
BIOCARTA_LAIR_PATHWAY,0.195357833655706,0.463721362933614,0.136490437780413,-0.887096774193548,-1.21411764705882,1,C3
BIOCARTA_LECTIN_PATHWAY,0.0569916891479976,0.307556329819258,0.321775918075361,-0.894308943089431,-1.48881323676935,2,C4B C3
BIOCARTA_MALATEX_PATHWAY,0.874274661508704,0.906722054380664,0.0502948063662358,-0.556451612903226,-0.761582887700535,1,SLC25A11
BIOCARTA_MCM_PATHWAY,0.25531914893617,0.483981900452489,0.117249716749792,-0.870967741935484,-1.19204278074866,1,MCM6
BIOCARTA_NFAT_PATHWAY,0.231854838709677,0.483981900452489,0.126875729929857,0.879032258064516,1.20839865621501,1,NPPA
BIOCARTA_NO1_PATHWAY,0.0645161290322581,0.307556329819258,0.252961123069611,0.959677419354839,1.31926091825308,1,RYR2
BIOCARTA_NUCLEARRS_PATHWAY,0.731369150779896,0.823355594758065,0.053457214108991,0.51219512195122,0.820732162509564,2,CYP2E1 ABCD3
BIOCARTA_P53HYPOXIA_PATHWAY,0.86073500967118,0.896000328732063,0.051011413203915,-0.57258064516129,-0.783657754010696,1,FHL2
BIOCARTA_PPARA_PATHWAY,0.116117850953206,0.390474734087743,0.170932335370056,0.829268292682927,1.32880445358691,2,FABP1 EHHADH
BIOCARTA_PTDINS_PATHWAY,0.7678916827853,0.823355594758065,0.0562940749700968,-0.612903225806452,-0.838844919786097,1,PFKM
BIOCARTA_RECK_PATHWAY,0.0909090909090909,0.33943592281049,0.206587922696891,-0.951612903225806,-1.30241711229947,1,MMP2
BIOCARTA_TNFR1_PATHWAY,0.299806576402321,0.483981900452489,0.106729884364606,-0.846774193548387,-1.15893048128342,1,PARP1
BIOCARTA_TSP1_PATHWAY,0.047201841289497,0.307556329819258,0.321775918075361,-0.909806699447315,-1.51461334196133,2,THBS1
BIOCARTA_UCALPAIN_PATHWAY,0.988372093023256,0.991262069903441,0.0531298054705469,-0.32520325203252,-0.541386631552489,2,ITGB3 ACTN2
BIOCARTA_VDR_PATHWAY,0.323017408123791,0.48647263539283,0.102080107662747,-0.830645161290323,-1.13685561497326,1,PRMT1
KEGG_ABC_TRANSPORTERS,0.977822580645161,0.982557769431536,0.0470699590082662,0.508064516129032,0.698432250839866,1,ABCD3
KEGG_ADHERENS_JUNCTION,0.608870967741936,0.731994837520791,0.0694481442003175,0.67741935483871,0.931243001119821,1,ACTN2
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.613953488372093,0.733749290981282,0.0762797180809272,-0.536585365853659,-0.893287942061607,2,CD36 CPT1B
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.137281292059219,0.413196918796023,0.135740943810425,0.598913391908929,1.33340282370624,7,CPS1 ASS1 ABAT ASL GOT1
KEGG_ALZHEIMERS_DISEASE,0.217948717948718,0.483981900452489,0.245041785430996,-0.305761477420884,-1.22018468623205,19,APOE NDUFS2 MT-CYB NDUFB5 NDUFS3 UQCRC1 SDHC UQCRFS1 NDUFB10 UQCRHL NDUFB2 NDUFS5 NDUFA8 UQCRQ NDUFB8 NDUFA3 NDUFC2
KEGG_ARACHIDONIC_ACID_METABOLISM,0.606585788561525,0.731994837520791,0.062249042949858,0.577235772357724,0.924952119653635,2,CYP2E1 EPHX2
